bigram,count
universidad distrital,35
mixed integer,34
ecol manag,34
reviewer comments,34
onlinelibrary wiley,34
wiley online,34
online library,34
sub problems,34
spatial scales,34
suministro biocombustibles,34
farmlands lakes,34
wildfire hazard,34
quality evaluation,33
harvesting irr,33
early late,33
carbon price,33
height differential,33
mountains rivers,33
rivers forests,33
forests farmlands,33
lakes grasslands,33
transformation efficiency,33
thinning intensity,33
total profit,32
uneven aged,32
canopy associated,32
associated species,32
page open,32
optimization model,32
diaz balteiro,32
truck type,31
optimization problems,31
fire occurrence,31
criteria indicators,31
sequestration ton,31
elm fates,31
management regime,31
threshold accepting,31
regional timber,31
tree growing,31
growing phase,31
pareto frontiers,30
downloaded uppsala,30
uppsala universitet,30
universitet 18for,30
18for personal,30
manag crossref,30
full text,30
carbon measurements,30
biomass bioenergy,30
res crossref,29
mathematical model,29
protection zoning,29
management objectives,29
tropical forests,29
biorefinery supply,29
dap data,29
life community,29
appl sci,29
zone boundaries,29
san pedro,28
management plan,28
wood chips,28
tree selection,28
collection center,28
plant period,28
xxx xxxx,28
xxxx xxx,28
pedunculate oak,28
boreal forests,28
boreal forest,28
vale sousa,28
timber cash,28
europe open,28
wood price,28
cambero sowlati,28
study areas,28
issn 750x,28
ingenier vol,28
ecological corridor,28
heilongjiang state,28
timber logistics,28
efficient solutions,28
pedro alto,27
adaptive management,27
code ocean,27
publisher full,27
age structure,27
vol issn,27
750x issn,27
issn universidad,27
distrital fjc,27
econ omicos,27
international forest,27
goal programming,27
arizona nevada,27
nevada academy,27
cash flow,26
software tool,26
set aside,26
clear cutting,26
grouse occupancy,26
initial threshold,26
size class,26
academy science,26
compromise programming,26
topsis model,25
evaluation indicator,25
raw material,25
scenario problem,25
market agents,25
optimization problem,25
linear programming,25
dominated solutions,25
biomass boiler,25
navarro cerrillo,25
fire risk,25
piedra jimenez,25
cable logging,25
fuel breaks,25
per project,25
energy generation,25
overall trade,25
network design,25
potential environmental,25
industrial phase,25
wood production,24
capacity facility,24
biofuel supply,24
non commercial,24
objective value,24
criteria sub,24
spatial nsga,24
timber volume,24
stakeholder groups,24
habitat area,24
oregon state,24
state university,24
ecological sources,24
dispatch system,24
canopy closure,24
silvicultural alternatives,24
environmental economic,24
connectivity index,24
hubei province,23
public administration,23
highest weight,23
multiobjective optimization,23
losses due,23
due fire,23
optimization forest,23
objective approach,23
forest farm,23
british columbia,23
williams lake,23
boiler steam,23
steam turbine,23
als data,23
differential approach,23
direct approach,23
umero art,23
regulated forest,23
dispatching system,23
distribution pattern,23
tree search,23
multi start,22
spatial autocorrelation,22
critical points,22
chain design,22
dominance cuts,22
invasive species,22
decision maps,22
civil society,22
decision support,22
management strategy,22
interest rate,22
approach timber,22
modeling earth,22
clear cut,22
objective forest,22
sub problem,22
forest area,22
hours work,22
electricity biomass,22
esc scenario,22
willow grouse,22
stand level,22
stands thinned,22
revenues carbon,22
production systems,22
monte carlo,22
tree basal,22
transport trucks,21
consumption centers,21
process plant,21
buyuktahtakin haight,21
integer programming,21
group decision,21
volume growth,21
constrained nsga,21
volume per,21
player stock,21
pine pulpwood,21
pone october,21
october plos,21
open canopy,21
spruce spruce,21
advances modeling,21
earth systems,21
adjacency constraints,21
broadleaved mixed,21
forest biorefinery,21
land types,21
als dap,21
co2 sequestration,21
cable corridor,21
alez gonz,21
risk assessment,21
dawen river,21
domi angl,21
natural plots,21
break network,21
overall utility,21
hefeng county,20
protection zones,20
quality index,20
spatial optimization,20
co2 sub,20
opt profit,20
ash trees,20
bushaj buyuktahtakin,20
cpx sdc,20
paiva north,20
forest structure,20
old forest,20
manage ment,20
irr amount,20
habplanr multi,20
tree density,20
reference dataset,20
forest operation,20
hainan province,20
aviation forest,20
articles advance,20
decision framework,20
framework evaluating,20
pso algorithm,20
objective scenario,20
available http,20
downloaded bioone,20
bioone journals,20
journals arizona,20
science feb,20
feb bioone,20
simple local,19
facility period,19
indicator system,19
infestation level,19
original problem,19
multicriteria questionnaire,19
land erosion,19
function values,19
level grid,19
plos habplanr,19
stand density,19
selective logging,19
late successional,19
eph ceph,19
biomass type,19
planning period,19
relative tolerance,19
rescue network,19
art iculo,19
cable corridors,19
regional ecological,19
important ecological,19
dongping lake,19
analysis articles,19
rocky mountain,19
thompson decision,19
system decision,19
uniform angle,19
goal scenarios,19
available online,19
keep efficient,19
harvesting sites,18
storage capacity,18
airborne laser,18
lignocellulosic biomass,18
ton ton,18
carbon balance,18
interest group,18
lomba zif,18
management optimization,18
economic player,18
beech hornbeam,18
closed canopy,18
competing interests,18
forest simulators,18
creative commons,18
custom nsga,18
spatial constraints,18
job class,18
black grouse,18
tolerance parameter,18
flus model,18
als als,18
jimenez forest,18
demand point,18
storage sequestration,18
gesti cadenas,18
ambientales sociales,18
alternative set,18
community mountains,18
belval thompson,18
evaluating wildfire,18
wildfire dispatch,18
fuel treatments,18
stand canopy,18
non forest,18
average annual,17
evaluation unit,17
tree regions,17
pre treatment,17
increase cpi,17
content courtesy,17
courtesy apply,17
apply rights,17
rights reserved,17
garcia gonzalo,17
jid eor,17
article press,17
research xxx,17
m5g september,17
september european,17
risk measure,17
pareto hull,17
gini index,17
criteria analysis,17
environmental player,17
description software,17
systems 2023ms004195,17
cheng downloaded,17
downloaded agupubs,17
agupubs onlinelibrary,17
wiley 2023ms004195,17
2023ms004195 colegio,17
colegio postgraduados,17
postgraduados carr,17
carr mexico,17
mexico texcoco,17
texcoco wiley,17
library onlinelibrary,17
wiley wiley,17
jingouling forest,17
heat electricity,17
scenario esc,17
food security,17
quantity structure,17
land type,17
per cent,17
hull reformulation,17
sustainable operations,17
fire aviation,17
forest protection,17
demand points,17
site selection,17
revisi literatura,17
national forest,17
usd usd,17
region graph,17
loss rate,17
techno economic,17
stand types,17
sawn wood,17
carlo tree,17
constantino martins,17
bioone compromise,17
ponderosa pine,17
million pesos,16
harvester machine,16
customer zone,16
land degradation,16
harvest blocks,16
cork oak,16
actors preferences,16
among actors,16
pone january,16
wood extracted,16
scenarios tested,16
taxonomy optimization,16
review assessment,16
optimal solution,16
interest rates,16
natural regeneration,16
optimization tool,16
forest ecosystem,16
applied energy,16
spatial allocation,16
price belongs,16
pinus canariensis,16
total return,16
canarian pine,16
management prescriptions,16
operations computers,16
aranda pinilla,16
johan alexander,16
orjuela castro,16
javier arturo,16
multiobjetivo gesti,16
biocombustibles revisi,16
reference tree,16
oak hickory,16
mixed conifer,16
rate change,16
set alternative,16
problem statement,16
pso model,16
random distribution,16
financial valuation,16
cut trees,16
treatment types,16
fuel loading,16
loading ton,16
ton diameter,16
diameter size,16
forest treatment,16
timber sale,16
environmental social,16
supply ratio,16
programming poff,16
response functions,16
local beam,15
beam search,15
start local,15
wood residues,15
chipper machine,15
trucks carrying,15
soil type,15
laser scanning,15
values cop,15
cultural services,15
method conservation,15
dominated points,15
pine stands,15
discount rate,15
management review,15
land unit,15
thlo thhi,15
post treatment,15
number seed,15
objectives constraints,15
biodiversity conservation,15
timber harvesting,15
custom mutation,15
carbon stock,15
social benefits,15
unit biomass,15
biofuel type,15
forest carbon,15
guo ffgc,15
suppression difficulty,15
site index,15
number sites,15
fire point,15
final harvest,15
highest value,15
alexander aranda,15
arturo orjuela,15
downloaded oregon,15
university january,15
log pickup,15
potential ecological,15
landscape pattern,15
model pso,15
forest spatial,15
external set,15
sustainable energy,15
natural gas,15
online http,15
clearcut area,15
probability connectivity,15
neto constantino,15
preferred solution,15
decision variable,15
planning problems,14
forest industry,14
lost demands,14
trucks facility,14
distribution forest,14
soil fertility,14
soil layer,14
opt sub,14
cop trip,14
paiva south,14
cognitive mapping,14
sub criterion,14
yann dujardin,14
january reference,14
management plans,14
optimization process,14
wood extraction,14
maximization npv,14
assessment forestist,14
economics crossref,14
npv values,14
mana gement,14
preference information,14
information provided,14
stand management,14
forest ecology,14
ecology management,14
mutation operator,14
standard nsga,14
pop gen,14
fire resistance,14
east paiva,14
zhang ffgc,14
dominant tree,14
conifer broadleaved,14
mixed plantation,14
planning model,14
management measures,14
frontiersin guo,14
session session,14
environmental management,14
hazel grouse,14
science total,14
total environment,14
thinned period,14
water yield,14
protective forest,14
value information,14
top height,14
carbon services,14
pickup point,14
cumulative resistance,14
gravity model,14
grasslands taishan,14
ecological space,14
pattern index,14
efficiency forestry,14
public welfare,14
output value,14
thinning intensities,14
ground damage,14
pay matrix,14
renewable sustainable,14
design forest,14
forest residues,14
biomass energy,14
forest energy,14
jiangle county,14
total core,14
objective categories,14
land subcompartment,13
fourth grade,13
mountain areas,13
consumption center,13
per period,13
wood flow,13
highest performance,13
growth rate,13
optimization studies,13
caglayan taxonomy,13
alvarez miranda,13
khadka vacik,13
http sisef,13
sisef iforest,13
model thlo,13
max max,13
harvest age,13
frontiersin abate,13
abate ffgc,13
frontiersin zhang,13
conifer mixed,13
optimization scenarios,13
pareto curves,13
canary islands,13
fayal brezal,13
plan plan,13
stochastic programming,13
forest stand,13
stage multi,13
huang zhao,13
zhao sustainable,13
rotation length,13
carbon sequestered,13
econ omico,13
fjc optimizaci,13
ultiples objetivos,13
grid cell,13
grid cells,13
self organization,13
eastern united,13
iterations per,13
per threshold,13
dispatching centers,13
structured decision,13
wildland fire,13
center locations,13
recruitment retention,13
data envelopment,13
areas heilongjiang,13
soil damage,13
conservacion ecosistema,13
energy reviews,13
mountain forests,13
agricultural industrial,13
proposed model,12
demand zone,12
discount level,12
province china,12
mainly distributed,12
frontier moip,12
objective forestry,12
utility functions,12
group analysis,12
prices wood,12
management objective,12
zif portugal,12
canadian forest,12
forest science,12
oper res,12
spatial forest,12
local solutions,12
sisef http,12
intermediate canopy,12
field managers,12
seed arrival,12
optimal management,12
econ clim,12
generate pareto,12
mixed forest,12
mazziotta environmental,12
trade curves,12
thinning cost,12
cerrillo science,12
total sdi,12
pine forests,12
taklamakan desert,12
determination schemes,12
forest growth,12
response time,12
protection station,12
timber carbon,12
worst stands,12
western united,12
non unique,12
optimal rotation,12
scientific reports,12
reports s41598,12
s41598 vol,12
envelopment analysis,12
multi dimensional,12
dbh dominance,12
neighboring trees,12
mean std,12
algoritmo genetico,12
sustainability forest,12
treatment area,12
fossil fuels,12
bioenergy bioproducts,12
pre processing,12
heat power,12
biomass utilization,12
fuel extraction,12
extraction forest,12
langner ecosystem,12
shiroka laka,12
goal scenario,12
goal preferences,12
human toxicity,12
solid energy,12
serrano ramirez,11
annealing simple,11
edgeworth pareto,11
paredes penafiel,11
convex hull,11
north paiva,11
results assigning,11
production levels,11
several ecosystem,11
forestry carbon,11
cognitive map,11
income sources,11
mcda group,11
consensus convergence,11
convergence algorithm,11
set scenarios,11
peer review,11
science crossref,11
economics xxx,11
xxx xxx,11
road building,11
spatial operator,11
local facilitators,11
priority rank,11
treatment seed,11
estimated seed,11
number seeds,11
wood prices,11
moo model,11
management period,11
crossover mutation,11
species stand,11
erosion ton,11
sub areas,11
ceph eph,11
forest grouse,11
thinning schedules,11
pine plantations,11
average sdi,11
canary pine,11
sdi values,11
hectares hm2,11
als subsequent,11
disjunctive programming,11
net carbon,11
npv npv,11
pareto point,11
objective stochastic,11
logistic regression,11
network algorithm,11
transportation costs,11
fixed costs,11
stand compartment,11
optimization algorithm,11
level harvest,11
maximizing species,11
solutions generated,11
threshold rate,11
change iterations,11
rotation regulated,11
real forest,11
rma fec,11
cost living,11
zone configuration,11
neighborhood indices,11
structure index,11
stand structure,11
cut length,11
number assortments,11
strip roads,11
forestal maderable,11
cosecha comercial,11
volumen cosechado,11
priority levels,11
prescription stand,11
sowlati renewable,11
wood pellets,11
woody biomass,11
picea abies,11
isw isw,11
green supply,11
pine eucalyptus,11
forest production,11
industrial phases,11
production cellulose,11
pine wood,11
functional unit,11
net emissions,11
area habitats,11
area total,11
martins european,11
modeling effort,11
biomass bioenerg,11
heuristic techniques,10
spatial goals,10
tree detection,10
level forest,10
forest inventory,10
value increment,10
flow fluctuation,10
period results,10
amount deadwood,10
broadleaf volume,10
marlene marques,10
decision problems,10
objective combinatorial,10
management crossref,10
supporting community,10
geometric mean,10
management schedules,10
seed traps,10
seed crop,10
standard deviation,10
harvest ages,10
offs among,10
offs ecosystem,10
broad leaved,10
economic value,10
stand scale,10
fern andez,10
structure optimization,10
subsequent dap,10
net co2,10
sequestration loss,10
eng http,10
trivino ecosystem,10
climate regulation,10
heuristic network,10
unique tree,10
trade analysis,10
customer service,10
evaluation index,10
industrial transformation,10
social development,10
multi functional,10
heilongjiang province,10
std mean,10
distance duration,10
optimizacion produccion,10
produccion forestal,10
maderable conservacion,10
zona aprovechamiento,10
horizonte planeacion,10
volumen maderable,10
funcion objetivo,10
mutacion multiple,10
millones pesos,10
silvicultural alternative,10
normal forest,10
lgp model,10
cutting secondary,10
secondary cutting,10
crossref diaz,10
european mountain,10
ryerson university,10
university library,10
chain network,10
carbon credits,10
production wood,10
per hectare,10
ozone formation,10
economic criteria,10
pdf accessed,10
constraints clearcut,10
total habitat,10
forest patches,10
ecosystem management,10
achievement level,10
weighting scheme,10
forest res,10
stone pine,9
harvested trees,9
tree height,9
tree value,9
multiple criteria,9
moip problems,9
decision variables,9
forest landscape,9
economic profitability,9
level ecosystem,9
interactive multiobjective,9
problems conservation,9
preferences decision,9
combinatorial problems,9
weighted sum,9
every cell,9
scandinavian forest,9
operations research,9
miranda forest,9
cvar msfmp,9
hierarchy process,9
indicators sustainable,9
long term,9
management options,9
members groups,9
max jones,9
objective optimisation,9
spatial planning,9
plantation conifer,9
grouse capercaillie,9
intensive forestry,9
probability occurrence,9
kullback leibler,9
thinning thinning,9
predicted ideal,9
ecological benefits,9
kappa coefficient,9
dkt dkt,9
data als,9
temporal als,9
ideal nadir,9
nadir values,9
big reformulation,9
objective single,9
production carbon,9
user defined,9
variable costs,9
continuous formulation,9
simulated young,9
coordinating group,9
transformation forestry,9
transformation state,9
industry state,9
input output,9
loading nodes,9
unloading node,9
real life,9
bosque optimizacion,9
comunidad san,9
minimum harvest,9
harvest area,9
crossref pubmed,9
criteria decision,9
multifunctional goal,9
nom nom,9
pareto solutions,9
downloaded ryerson,9
library september,9
forests planted,9
inter habitat,9
solid chipped,9
search sls,8
annealing local,8
individual tree,8
objective optimizations,8
relative value,8
couture content,8
objective sequential,8
sequential forest,8
management risk,8
risk markov,8
markov decision,8
decision process,8
process pareto,8
frontier content,8
harvested timber,8
service indicators,8
wood products,8
combinatorial optimization,8
dominated point,8
aggregation function,8
explicit approach,8
taxonomic framework,8
non financial,8
cut time,8
analysis mca,8
forest user,8
multiple objectives,8
hsi flows,8
management schedule,8
supply regeneration,8
dispersal models,8
dispersal kernels,8
trees black,8
black dots,8
objective genetic,8
crowding distance,8
cutting amount,8
species groups,8
time cycle,8
spatial scale,8
tetrao urogallus,8
habitat quality,8
optimization protective,8
distribution protective,8
food production,8
nsga flus,8
voi assessment,8
direct height,8
road segments,8
logging feasibility,8
existing roads,8
harvest years,8
years harvest,8
flow timber,8
weighting method,8
young forest,8
index system,8
industrial economy,8
length harvesting,8
route length,8
harvester data,8
life graph,8
nodes region,8
algoritmos geneticos,8
cosecha anual,8
tratamiento silvicola,8
mejor solucion,8
multi aged,8
point point,8
vienna austria,8
forest fuel,8
torres rojo,7
sls simulated,7
search slbs,7
slbs simulated,7
annealing multi,7
search smts,7
best known,7
perimeter boundary,7
training area,7
selection trees,7
increases production,7
production ecosystem,7
continuous cover,7
levels ecosystem,7
production possibility,7
harvested volume,7
solving multi,7
allocation problem,7
sub categories,7
financial objectives,7
multicriteria stochastic,7
road network,7
exit points,7
weak land,7
forest compactness,7
fotakis forest,7
planning problem,7
land units,7
figure figure,7
algorithm nsga,7
solution space,7
forest managers,7
jilin province,7
time periods,7
planning area,7
engineering diamonds,7
january diamonds,7
diamonds international,7
yarding costs,7
truck transportation,7
gradient type,7
volume harvested,7
optimization strategy,7
harvesting operations,7
ala ilomaki,7
loading unloading,7
engineering figure,7
gn2 gn3,7
manejo forestal,7
tipo habitat,7
tecnica gn3,7
mejor valor,7
genetico mutacion,7
emissions total,7
university natural,7
natural resources,7
resources life,7
life sciences,7
shipping stations,7
heating plants,7
wood supply,7
water content,7
revenue solid,7
tree canopies,6
mip optimization,6
unconstrained problem,6
ecological informatics,6
transition rule,6
fotakis sidiropoulos,6
forest harvest,6
azquez endez,6
land timber,6
timber value,6
state variables,6
eero holmstrom,6
aprovechamiento intensivo,6
design management,6
austria institute,6
oven dry,6
level data,5
onkk onen,5
spatial temporal,5
scheduling problem,5
self organizing,5
dead wood,5
solution timber,5
institute forest,5
transport mode,5
forest plant,5
spatial transition,4
fotakis ecological,4
elatia forest,4
onkk onenetal,3
alvarez mirandaetal,3
buongiorno zhou,3
personal data,3
peuraetal pohjanmiesetal,2
borgesetal alvarez,2
onenetal peuraetal,2
trivi noetal,2
puterman sigaudandbuffet,2
bartkowskietal fedorandzvar,2
fedorandzvar ikov,2
reserved fig,2
